,name,file
272,Blackadder ITC,C:\Windows\Fonts\ITCBLKAD.TTF
273,Lucida Bright,C:\Windows\Fonts\LBRITE.TTF
274,Goudy Old Style,C:\Windows\Fonts\GOUDOSB.TTF
275,Franklin Gothic Medium,C:\Windows\Fonts\framd.ttf
276,Calibri,C:\Windows\Fonts\calibril.ttf
277,Lucida Bright,C:\Windows\Fonts\LBRITEDI.TTF
278,Segoe UI,C:\Windows\Fonts\segoeuisl.ttf
279,Segoe UI,C:\Windows\Fonts\seguisli.ttf
280,Curlz MT,C:\Windows\Fonts\CURLZ___.TTF
281,Sylfaen,C:\Windows\Fonts\sylfaen.ttf
282,Gill Sans MT,C:\Windows\Fonts\GILB____.TTF
283,Lucida Bright,C:\Windows\Fonts\LBRITED.TTF
284,Constantia,C:\Windows\Fonts\constanb.ttf
285,SimSun-ExtB,C:\Windows\Fonts\simsunb.ttf
286,Magneto,C:\Windows\Fonts\MAGNETOB.TTF
287,Candara,C:\Windows\Fonts\Candara.ttf
288,Script MT Bold,C:\Windows\Fonts\SCRIPTBL.TTF
289,HCR Batang ExtB,C:\Windows\Fonts\HANBatangExtB.ttf
290,Calibri,C:\Windows\Fonts\calibriz.ttf
291,Candara,C:\Windows\Fonts\Candarab.ttf
292,Microsoft Tai Le,C:\Windows\Fonts\taileb.ttf
293,Georgia,C:\Windows\Fonts\georgiab.ttf
294,Engravers MT,C:\Windows\Fonts\ENGR.TTF
295,Freestyle Script,C:\Windows\Fonts\FREESCPT.TTF
296,Viner Hand ITC,C:\Windows\Fonts\VINERITC.TTF
297,Consolas,C:\Windows\Fonts\consolai.ttf
298,Microsoft PhagsPa,C:\Windows\Fonts\phagspa.ttf
299,Wingdings,C:\Windows\Fonts\wingding.ttf
300,Meiryo,C:\Windows\Fonts\MEIRYO.TTC
301,Perpetua,C:\Windows\Fonts\PERI____.TTF
302,Garamond,C:\Windows\Fonts\GARAIT.TTF
303,Javanese Text,C:\Windows\Fonts\javatext.ttf
304,MT Extra,C:\Program Files\Common Files\microsoft shared\EQUATION\MTEXTRA.TTF
305,Webdings,C:\Windows\Fonts\webdings.ttf
306,Book Antiqua,C:\Windows\Fonts\BKANT.TTF
307,MV Boli,C:\Windows\Fonts\mvboli.ttf
308,Jokerman,C:\Windows\Fonts\JOKERMAN.TTF
309,Yet R,C:\Windows\Fonts\HMFMOLD.TTF
310,Harlow Solid Italic,C:\Windows\Fonts\HARLOWSI.TTF
311,Elephant,C:\Windows\Fonts\ELEPHNT.TTF
312,Times New Roman,C:\Windows\Fonts\times.ttf
313,Perpetua Titling MT,C:\Windows\Fonts\PERTILI.TTF
314,Tw Cen MT,C:\Windows\Fonts\TCB_____.TTF
315,Century Schoolbook,C:\Windows\Fonts\CENSCBK.TTF
316,Perpetua,C:\Windows\Fonts\PER_____.TTF
317,Ink Free,C:\Windows\Fonts\Inkfree.ttf
318,Constantia,C:\Windows\Fonts\constan.ttf
319,Calibri,C:\Windows\Fonts\calibrili.ttf
320,Headline R,C:\Windows\Fonts\HMKMRHD.TTF
321,Franklin Gothic Book,C:\Windows\Fonts\FRABK.TTF
322,Copperplate Gothic Light,C:\Windows\Fonts\COPRGTL.TTF
323,Palatino Linotype,C:\Windows\Fonts\palabi.ttf
324,Pristina,C:\Windows\Fonts\PRISTINA.TTF
325,Malgun Gothic,C:\Windows\Fonts\malgun.ttf
326,Leelawadee UI,C:\Windows\Fonts\LeelawUI.ttf
327,Showcard Gothic,C:\Windows\Fonts\SHOWG.TTF
328,Arial,C:\Windows\Fonts\arial.ttf
329,Old English Text MT,C:\Windows\Fonts\OLDENGL.TTF
330,Haan Wing2,C:\Windows\Fonts\HANWing2.ttf
331,OCR A Extended,C:\Windows\Fonts\OCRAEXT.TTF
332,Eras Demi ITC,C:\Windows\Fonts\ERASDEMI.TTF
333,Vivaldi,C:\Windows\Fonts\VIVALDII.TTF
334,Bell MT,C:\Windows\Fonts\BELLB.TTF
335,High Tower Text,C:\Windows\Fonts\HTOWERTI.TTF
336,Calisto MT,C:\Windows\Fonts\CALIST.TTF
337,Matura MT Script Capitals,C:\Windows\Fonts\MATURASC.TTF
338,Ami R,C:\Windows\Fonts\HMKMAMI.TTF
339,Georgia,C:\Windows\Fonts\georgiai.ttf
340,Kristen ITC,C:\Windows\Fonts\ITCKRIST.TTF
341,Myanmar Text,C:\Windows\Fonts\mmrtextb.ttf
342,Tahoma,C:\Windows\Fonts\tahoma.ttf
343,Lucida Sans Typewriter,C:\Windows\Fonts\LTYPEB.TTF
344,Microsoft New Tai Lue,C:\Windows\Fonts\ntailub.ttf
345,Constantia,C:\Windows\Fonts\constani.ttf
346,HYPost-Light,C:\Windows\Fonts\H2PORL.TTF
